"","enro_animal_id","rand_conduct"
"1","BB0325","Yes"
"2","BB0326","Yes"
"3","BB0327","Yes"
"4","BB0332","Yes"
"5","BB0333","Yes"
"6","BM4063","Yes"
"7","BM4064","Yes"
"8","BM4079","Yes"
"9","BW4831","Yes"
"10","BW4832","Yes"
"11","BW4847","Yes"
"12","BW4848","Yes"
"13","BW4849","Yes"
"14","BW5451","Yes"
"15","BW5452","Yes"
"16","BW5454","Yes"
"17","BW5455","Yes"
"18","BW5457","Yes"
"19","BW5459","Yes"
"20","BW5460","Yes"
"21","BW5461","Yes"
"22","BW5692","Yes"
"23","BW5693","Yes"
"24","BW5694","Yes"
"25","BW5704","Yes"
"26","BW5706","Yes"
"27","CC9890","Yes"
"28","CC9891","Yes"
"29","CC9892","Yes"
"30","CC9893","Yes"
"31","CC9894","Yes"
"32","CC9895","Yes"
"33","CC9916","Yes"
"34","CC9917","Yes"
"35","CC9918","Yes"
"36","CC9919","Yes"
"37","CD0516","Yes"
"38","CD0517","Yes"
"39","CD0523","Yes"
"40","CD0698","Yes"
"41","CD0699","Yes"
"42","CD0700","Yes"
"43","CD0701","Yes"
"44","CD0710","Yes"
"45","CD0711","Yes"
"46","CD0712","Yes"
"47","CD0713","Yes"
"48","CD0729","Yes"
"49","GF5961","Yes"
"50","GF5962","Yes"
"51","GF5963","Yes"
"52","GF5964","Yes"
"53","GF5974","Yes"
"54","GF5975","Yes"
"55","GF5976","Yes"
"56","GF6014","Yes"
"57","GF6015","Yes"
"58","GT2260","Yes"
"59","GT2266","Yes"
"60","GT2279","Yes"
"61","HC7837","Yes"
"62","HC7838","Yes"
"63","HC7842","Yes"
"64","HC7843","Yes"
"65","HC7875","Yes"
"66","HC7876","Yes"
"67","HC7882","Yes"
"68","HC7883","Yes"
"69","HC7884","Yes"
"70","HC8331","Yes"
"71","HC8333","Yes"
"72","HC8334","Yes"
"73","HC8335","Yes"
"74","HC8336","Yes"
"75","HC8337","Yes"
"76","HC8338","Yes"
"77","HC8339","Yes"
"78","HC8340","Yes"
"79","HC8341","Yes"
"80","HG1234","Yes"
"81","HG1239","Yes"
"82","HG1246","Yes"
"83","HG1254","Yes"
"84","HG1265","Yes"
"85","HG1268","Yes"
"86","HG1330","Yes"
"87","HG1331","Yes"
"88","HG1334","Yes"
"89","HG1335","Yes"
"90","HG1340","Yes"
"91","HG1341","Yes"
"92","HG1342","Yes"
"93","HG1354","Yes"
"94","HG1360","Yes"
"95","HG1361","Yes"
"96","HG1362","Yes"
"97","HG1365","Yes"
"98","HG1366","Yes"
"99","HG1367","Yes"
"100","HG1432","Yes"
"101","HG1433","Yes"
"102","HG1434","Yes"
"103","HG1435","Yes"
"104","HG1453","Yes"
"105","LJ5661","Yes"
"106","LJ5662","Yes"
"107","LJ5663","Yes"
"108","LJ5668","Yes"
"109","LJ5670","Yes"
"110","LJ5675","Yes"
"111","LJ5676","Yes"
"112","LW7390","Yes"
"113","LW7395","Yes"
"114","MJ5135","Yes"
"115","MJ5137","Yes"
"116","MJ5138","Yes"
"117","MJ5139","Yes"
"118","MJ5141","Yes"
"119","MJ5142","Yes"
"120","MJ5174","Yes"
"121","MJ5175","Yes"
"122","MJ5176","Yes"
"123","MJ5182","Yes"
"124","MJ5183","Yes"
"125","MJ5184","Yes"
"126","MJ5831","Yes"
"127","MJ5832","Yes"
"128","MJ5833","Yes"
"129","MJ5834","Yes"
"130","MJ5835","Yes"
"131","MJ5836","Yes"
"132","MJ5837","Yes"
"133","MJ5838","Yes"
"134","MJ5839","Yes"
"135","MJ5840","Yes"
"136","MJ5841","Yes"
"137","MN4910","Yes"
"138","MN4911","Yes"
"139","MN4924","Yes"
"140","MN4925","Yes"
"141","MN4940","Yes"
"142","MN4941","Yes"
"143","MN4943","Yes"
"144","MN4944","Yes"
"145","MN4945","Yes"
"146","MN4946","Yes"
"147","MN5635","Yes"
"148","MN5636","Yes"
"149","MN5643","Yes"
"150","MN5654","Yes"
"151","MN5665","Yes"
"152","MN5702","Yes"
"153","MN5730","Yes"
"154","MN5731","Yes"
"155","MN5732","Yes"
"156","MN5733","Yes"
"157","MN5738","Yes"
"158","MN5739","Yes"
"159","QQ3348","Yes"
"160","QQ3351","Yes"
"161","RQ9431","Yes"
"162","RQ9432","Yes"
"163","RQ9447","Yes"
"164","RQ9448","Yes"
"165","RQ9450","Yes"
"166","RQ9456","Yes"
"167","RQ9457","Yes"
"168","RQ9462","Yes"
"169","RQ9463","Yes"
"170","RR0053","Yes"
"171","RR0054","Yes"
"172","RR0055","Yes"
"173","RR0056","Yes"
"174","RR0057","Yes"
"175","RR0058","Yes"
"176","RR0059","Yes"
"177","RR0060","Yes"
"178","RR0061","Yes"
"179","RR0062","Yes"
"180","RV6518","Yes"
"181","RV6519","Yes"
"182","RV6542","Yes"
"183","RV6543","Yes"
"184","RV9457","Yes"
"185","RV9468","Yes"
"186","RV9534","Yes"
"187","RV9535","Yes"
"188","RV9545","Yes"
"189","RV9573","Yes"
"190","RV9580","Yes"
"191","RV9585","Yes"
"192","RV9586","Yes"
"193","RV9587","Yes"
"194","RV9590","Yes"
"195","RV9591","Yes"
"196","RV9598","Yes"
"197","RV9599","Yes"
"198","RV9600","Yes"
"199","RV9601","Yes"
"200","RV9610","Yes"
"201","RV9612","Yes"
"202","RV9613","Yes"
"203","RV9614","Yes"
"204","RV9615","Yes"
"205","RV9616","Yes"
"206","RV9617","Yes"
"207","RV9618","Yes"
"208","RV9619","Yes"
"209","RV9621","Yes"
"210","VV5204","Yes"
"211","VV5205","Yes"
"212","VV5206","Yes"
"213","VV5213","Yes"
"214","VV5214","Yes"
"215","VV5249","Yes"
"216","VV5258","Yes"
"217","WI2549","Yes"
"218","WI2550","Yes"
"219","WI2555","Yes"
"220","WS3717","Yes"
"221","WS3718","Yes"
"222","WS3719","Yes"
"223","WS3721","Yes"
"224","WS3722","Yes"
"225","WS3756","Yes"
"226","WS3762","Yes"
"227","WS3763","Yes"
"228","WS4351","Yes"
"229","WS4352","Yes"
"230","WS4354","Yes"
"231","WS4355","Yes"
"232","WS4356","Yes"
"233","WS4358","Yes"
"234","WS4360","Yes"
"235","WS4361","Yes"
"236","WS4362","Yes"
"237","WX5830","Yes"
"238","WX5831","Yes"
"239","WX5834","Yes"
"240","WX5835","Yes"
"241","WX5838","Yes"
"242","WX5839","Yes"
"243","WX5853","Yes"
"244","WX5854","Yes"
"245","WX5855","Yes"
"246","WX6555","Yes"
"247","WX6556","Yes"
"248","WX6563","Yes"
"249","WX6564","Yes"
"250","WX6573","Yes"
"251","WX6577","Yes"
"252","WX6618","Yes"
"253","WX6619","Yes"
"254","WX6624","Yes"
"255","WX6625","Yes"
"256","WX6637","Yes"
"257","WX6638","Yes"
"258","WX6639","Yes"
"259","WX6640","Yes"
"260","WX6642","Yes"
"261","WX6644","Yes"
"262","WX6646","Yes"
"263","WX6649","Yes"
